Date,AZO_SLP
9/1/1957,1021.3
10/1/1957,1021
11/1/1957,1016.3
12/1/1957,1025.2
1/1/1958,1017.4
2/1/1958,1011.6
3/1/1958,1012.3
4/1/1958,1024.8
5/1/1958,1023.9
6/1/1958,1022.8
7/1/1958,1024.4
8/1/1958,1023.3
9/1/1958,1019.3
10/1/1958,1023
11/1/1958,1024.3
12/1/1958,1019.2
1/1/1959,1014.4
2/1/1959,1024.6
3/1/1959,1019.3
4/1/1959,1022.8
5/1/1959,1021.9
6/1/1959,1025.8
7/1/1959,1027.4
8/1/1959,1022.3
9/1/1959,1020.3
10/1/1959,1021
11/1/1959,1023.3
12/1/1959,1024.2
1/1/1960,1015.4
2/1/1960,1006.6
3/1/1960,1016.3
4/1/1960,1022.8
5/1/1960,1020.9
6/1/1960,1025.8
7/1/1960,1028.4
8/1/1960,1021.3
9/1/1960,1024.3
10/1/1960,1016
11/1/1960,1020.3
12/1/1960,1027.2
1/1/1961,1025
2/1/1961,1020
3/1/1961,1018
4/1/1961,1016
5/1/1961,1018
6/1/1961,1027
7/1/1961,1026.3
8/1/1961,1023
9/1/1961,1022
10/1/1961,1023
11/1/1961,1018
12/1/1961,1009
1/1/1962,1026
2/1/1962,1028
3/1/1962,1010
4/1/1962,1022
5/1/1962,1023
6/1/1962,1022
7/1/1962,1024
8/1/1962,1025
9/1/1962,1020
10/1/1962,1019
11/1/1962,1021
12/1/1962,1018
1/1/1963,1008
2/1/1963,1018
3/1/1963,1019
4/1/1963,1017
5/1/1963,1029
6/1/1963,1021
7/1/1963,1022
8/1/1963,1025
9/1/1963,1024
10/1/1963,1020
11/1/1963,1016
12/1/1963,1016
1/1/1964,1015
2/1/1964,1013
3/1/1964,1012
4/1/1964,1025
5/1/1964,1022
