"state_id","county_full","lng","lat","population","SVI"
"AL","Tallapoosa County",-85.7975,32.8624,41251,0.7879
"GA","Tift County",-83.5266,31.4574,41247,0.6266
"MS","Pike County",-90.4042,31.1748,40098,0.8395
"GA","Murray County",-84.7481,34.7884,40063,0.3544
"FL","Hendry County",-81.1659,26.5535,39902,0.9848
"FL","Okeechobee County",-80.8886,27.3864,39870,0.9242
"LA","Avoyelles Parish",-92.0014,31.0763,39529,0.8889
"TX","Jim Wells County",-98.0899,27.7314,39060,0.9012
"AL","Dallas County",-87.1065,32.326,38326,0.8485
"TX","Brown County",-98.9998,31.7742,38159,0.6443
"AL","Covington County",-86.4513,31.2485,37542,0.5455
"LA","Natchitoches Parish",-93.0962,31.7234,37478,0.7778
"TX","Hopkins County",-95.5639,33.1496,37008,0.4664
"LA","Webster Parish",-93.335,32.7135,36761,0.4921
"AL","Escambia County",-87.1615,31.1262,36755,0.7576
"LA","Beauregard Parish",-93.3432,30.6486,36553,0.1587
"TX","Matagorda County",-96.011,28.8212,36251,0.8775
"TX","Hill County",-97.1324,31.9907,36138,0.585
"TX","Fannin County",-96.1069,33.5938,36052,0.2451
"GA","Ware County",-82.4237,31.0538,35917,0.8544
"TX","Washington County",-96.4034,30.2145,35807,0.2253
"GA","Harris County",-84.9089,32.736,34914,0.0127
"MS","Lincoln County",-90.454,31.5324,34855,0.1111
"MS","Alcorn County",-88.5803,34.8808,34717,0.5432
"AL","Chambers County",-85.392,32.9143,34612,0.6818
"TX","Howard County",-101.4356,32.3062,34488,0.6482
"FL","DeSoto County",-81.8095,27.1864,34258,1
"MS","Monroe County",-88.4805,33.8923,34168,0.0741
"MS","Marshall County",-89.5031,34.7623,33980,0.4938
"FL","Wakulla County",-84.4007,30.1673,33732,0.0455
"GA","Pickens County",-84.4656,34.4643,33439,0.1519
"GA","Lumpkin County",-84.0027,34.5722,33405,0.1329
"MS","Panola County",-89.9506,34.3639,33157,0.6049
"AL","Lawrence County",-87.311,34.5217,33116,0.0758
"TX","Jasper County",-94.0251,30.744,33032,0.6561
"AL","Pike County",-85.9409,31.8027,32997,0.5758
"GA","Lee County",-84.1412,31.7796,32968,0.0759
"TX","Hale County",-101.8269,34.0705,32525,0.8696
"LA","Evangeline Parish",-92.4059,30.7289,32335,0.9841
"LA","Jefferson Davis Parish",-92.8141,30.2677,32277,0.0952
"AL","Franklin County",-87.8437,34.4417,32011,0.6667
"GA","Gilmer County",-84.4556,34.6912,31519,0.2658
"TX","Titus County",-94.9657,33.2166,31301,0.8656
"MS","Pontotoc County",-89.0374,34.2254,31202,0.1728
"TX","Bee County",-97.7412,28.4174,30977,0.7747
"TX","Kleberg County",-97.7273,27.4337,30860,0.9249
"MS","Bolivar County",-90.8805,33.7971,30688,0.9259
"TX","Austin County",-96.2779,29.887,30406,0.4111
"GA","Madison County",-83.209,34.1278,30378,0.4241
