"year","Time","Latitude","Longitude","Max.Winds","SS","RMW","Central","States","Storm","month"
1957,"1330Z",29.8,-93.7,110,3,"15","946","LA3,CTX2","Audrey",6
1959,"0500Z",29.1,-95.2,75,1,"20","980","CTX1","Debra",7
1960,"1600Z",25.9,-81.6,105,3,"20","942","BFL4,CFL4","Donna",9
1960,"2100Z",30.4,-89,80,1,"20","980","LA1,MS1","Ethel",9
1961,"2000Z",28.3,-96.4,125,4,"20","931","BTX4, CTX3, ATX1","Carla",9
1964,"2300Z",29.5,-91.5,90,2,"35","959","LA2","Hilda",10
1965,"0400Z",29.2,-90.1,115,4,"30","946","LA4","Betsy",9
1966,"1900Z",24.6,-82.7,100,3,"---","962","BFL3","Alma",6
1966,"2100Z",30.1,-84.2,75,1,"30","982","AFL1","Alma",6
1966,"0200Z",24.6,-81.8,85,2,"20","988","BFL2","Inez",10
1967,"1200Z",25.9,-97.2,100,3,"10","940","ATX3","Beulah",9
1968,"0400Z",28.7,-82.7,85,2,"10","978","AFL2, DFL1","Gladys",10
1969,"0400Z",30.3,-89.4,150,5,"5","900","MS5, LA5, AL1","Camille",8
1970,"2100Z",27.8,-97.1,120,4,"10","944","ATX4","Celia",8
1983,"0700Z",29.1,-95.1,100,3,"10","962","CTX3","Alicia",8
1985,"1630Z",29.6,-92.7,80,1,"15","987","LA1","Danny",8
1985,"1300Z",30.4,-89.2,100,3,"10","959","AL3,MS3,AFL3","Elena",9
1985,"1100Z",29.5,-91.4,75,1,"15","971","LA1","Juan",10
1985,"2230Z",30,-85.4,85,2,"10","967","AFL2,IGA1","Kate",11
1986,"0900Z",29.5,-94.2,75,1,"10","990","CTX1","Bonnie",6
1988,"2300Z",28.5,-89.3,70,1,"15","984","LA1","Florence",9
1989,"1300Z",29.6,-94.4,70,1,"15","986","CTX1","Chantal",8
1989,"0030Z",29.2,-95,75,1,"10","983","CTX1","Jerry",10
1992,"0830Z",29.6,-91.5,100,3,"20","956","LA3","Andrew",8
1995,"1330Z",30,-86.8,85,2,"15","---","AFL2","Erin",8
1995,"1600Z",30.3,-87.2,75,1,"10","973","AFL1","Erin",8
1995,"2200Z",30.3,-87.1,100,3,"50","942","AFL3,IAL1","Opal",10
1997,"0900Z",29.3,-89.7,65,1,"10","989","LA1","Danny",7
1997,"1000Z",30.2,-88.1,70,1,"10","984","LA1","Danny",7
1997,"1800Z",30.4,-87.9,65,1,"10","986","AL1","Danny",7
1998,"0600Z",30.1,-85.7,70,1,"70","987","AFL1","Earl",9
1998,"1530Z",24.5,-81.8,90,2,"25","981","BFL2","Georges",9
1998,"1130Z",30.4,-88.9,90,2,"80","964","MS2","Georges",9
1999,"0000Z",26.9,-97.4,100,3,"10","951","ATX3","Bret",8
1999,"1300Z",24.6,-81.6,65,1,"30","987","BFL1","Irene",10
2002,"1300Z",29.5,-92.2,80,1,"10","963","LA1","Lili",10
2003,"1530Z",28.3,-96.2,80,1,"15","979","BTX1","Claudette",7
2004,"1945Z",26.6,-82.2,130,4,"5","941","BFL4","Charley",8
2004,"2045Z",26.9,-82.1,125,4,"5","942","BFL4,CFL1,DFL1","Charley",8
2004,"0650Z",30.2,-87.9,105,3,"25","946","AL3,AFL3","Ivan",9
2005,"0300Z",29.2,-90.1,65,1,"20","991","LA1","Cindy",7
2005,"1930Z",30.4,-87.1,105,3,"5","946","AFL3,IAL1","Dennis",7
2005,"1110Z",29.3,-89.6,110,3,"20","920","LA3","Katrina",8
2005,"1445Z",30.2,-89.6,105,3,"20","928","LA3,MS3,AL1","Katrina",8
2005,"0740Z",29.7,-93.7,100,3,"20","937","LA3,CTX2","Rita",9
2005,"1030Z",25.9,-81.7,105,3,"25","950","BFL3,CFL2","Wilma",10
2007,"0700Z",29.6,-94.3,80,1,"10","985","CTX1,LA1","Humberto",9
2008,"1820Z",26.4,-97.2,75,1,"10","967","ATX1","Dolly",7
2008,"2000Z",26.4,-97.4,70,1,"10","967","ATX1","Dolly",7
2008,"1500Z",29.2,-90.7,90,2,"25","954","LA2","Gustav",9
2008,"0700Z",29.3,-94.7,95,2,"30","950","CTX2,LA1","Ike",9
2012,"0000Z",28.9,-89.4,70,1,"40","967","LA1","Isaac",8
2012,"0800Z",29.2,-90.2,70,1,"40","966","LA1","Isaac",8
2016,"0530Z",30.1,-84.1,70,1,"20","981","AFL1","Hermine",9
2017,"0300Z",28,-96.9,115,4,"10","937","BTX4","Harvey",8
2017,"0600Z",28.2,-97.1,105,3,"10","948","BTX4","Harvey",8
2017,"1300Z",24.7,-81.5,115,4,"10","931","BFL4,CFL1","Irma",9
2017,"1930Z",25.9,-81.7,100,3,"15","936","BFL4,CFL1","Irma",9
2017,"0000Z",29.1,-89.2,75,1,"15","983","LA1","Nate",10
2017,"0520Z",30.4,-89,65,1,"20","984","MS1","Nate",10
2018,"1730Z",30,-85.5,140,5,"10","919","AFL5,I-GA2,AL1","Michael",10
2019,"1500Z",29.6,-92.2,65,1,"40","993","LA1","Barry",7
2020,"2200Z",26.8,-97.3,80,1,"20","973","ATX1","Hanna",7
2020,"2315Z",26.7,-97.5,80,1,"20","974","ATX1","Hanna",7
2020,"0600Z",29.8,-93.3,130,4,"15","939","LA4,CTX1","Laura",8
2020,"0945Z",30.3,-87.7,95,2,"15","965","AFL2,AL2","Sally",9
2020,"2300Z",29.8,-93.1,85,2,"15","970","LA2","Delta",10
2020,"2100Z",29.2,-90.6,100,3,"20","970","LA3, MS2, I-AL1","Zeta",10
2021,"1655Z",29.1,-90.2,130,4,"10","931","LA4","Ida",8
2021,"0530Z",28.7,-95.7,65,1,"20","991","CTX1","Nicholas",9
2022,"1905Z",26.7,-82.2,130,4,"20","941","BFL4,NC1","Ian",9
2022,"0200Z",24.6,-82.9,110,3,"20","952","BFL3","Ian",9
2022,"1905Z",26.7,-82.2,130,4,"20","941","BFL4","Ian",9
2022,"2035Z",26.8,-82,125,4,"20","945","BFL4,ICFL1,DFL1","Ian",9
2023,"1145Z",29.9,-83.6,100,3,"10","950","AFL3, IGA1","Idalia",8
