year,Time,Latitude,Longitude,Max Winds,SS,RMW,Central,States,Storm
9/10/1878$,1100Z,28.6N,82.6W,90,2,---,-970,"AFL2,BFL2,DFL1",---------------
9/12/1878,1200Z,32.5N,80.4W,80,1,---,-976,"SC1,GA1",---------------
10/23/1878,0400Z,34.8N,77.1W,90,2,---,-963,"NC2,VA1,MD1,DE1, NJ1,IPA1",---------------
8/18/1879,1200Z,34.5N,76.8W,100,3,15,971,"NC3,VA2",---------------
8/19/1879,0600Z,41.4N,70.8W,70,1,---,984,MA1,---------------
8/23/1879,0200Z,29.6N,94.4W,90,2,---,964,"CTX2,LA2",---------------
9/1/1879$,1600Z,29.5N,91.4W,110,3,,-945,LA3,---------------
8/13/1880#,0100Z,25.8N,97.0W,110,3,10,931,ATX3,---------------
8/29/1880$,1200Z,28.2N,80.6W,90,2,---,972,"CFL2,DFL1",---------------
8/31/1880,0400Z,29.7N,84.8W,70,1,---,-982,AFL1,---------------
9/9/1880,1000Z,34.7N,77.1W,70,1,---,987,NC1,---------------
10/8/1880,1900Z,28.9N,82.7W,70,1,---,-982,AFL1,---------------
8/28/1881,0200Z,31.7N,81.1W,90,2,15,970,"GA2,SC1",---------------
9/9/1881,1600Z,33.9N,78.1W,90,2,15,975,NC2,---------------
9/10/1882,0200Z,30.4N,86.8W,110,3,---,949,"AFL3,IAL1",---------------
10/11/1882,0400Z,29.5N,83.3W,70,1,---,-985,AFL1,---------------
9/11/1883,1300Z,33.9N,78.5W,90,2,---,-965,"NC2,SC1",---------------
8/25/1885,1200Z,32.6N,80.1W,90,2,---,970,"SC2,NC1,GA1,DFL1",---------------
6/14/1886,1600Z,29.6N,94.2W,85,2,---,-970,"CTX2,LA2",---------------
6/21/1886,1100Z,30.1N,84.0W,85,2,---,-970,"AFL2,IGA1",---------------
6/30/1886,2100Z,29.7N,85.2W,85,2,---,-970,"AFL2,IGA1",---------------
7/19/1886,0100Z,28.8N,82.7W,70,1,---,-982,AFL1,---------------
8/20/1886,1300Z,28.1N,96.8W,130,4,15,925,BTX4,"""Indianola"""
9/23/1886#,0700Z,26.0N,97.2W,80,1,---,-973,"ATX1,BTX1",---------------
10/12/1886,2200Z,29.8N,93.5W,105,3,---,-950,"LA3,CTX2",---------------
7/27/1887,1500Z,30.4N,86.6W,75,1,---,-978,"AFL1,IAL1",---------------
8/20/1887*,1200Z,35.0N,75.0W,65,1,---,-946,NC1,---------------
