"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE","HRCN_HLRR"
"Pike County","AL",-85.9409,31.8027,32997,0.5758,"Pike","County","Relatively High"
"Pike County","MS",-90.4042,31.1748,40098,0.8395,"Pike","County","Relatively High"
"Pinellas County","FL",-82.7255,27.9198,959918,0.3182,"Pinellas","County","Relatively High"
"Plaquemines Parish","LA",-89.61,29.4406,23305,0.2063,"Plaquemines","Parish","Relatively High"
"Pointe Coupee Parish","LA",-91.6008,30.7095,20652,0.4286,"Pointe Coupee","Parish","Relatively High"
"Polk County","FL",-81.6976,27.9489,736229,0.8485,"Polk","County","Relatively High"
"Polk County","TX",-94.83,30.7927,50536,0.7233,"Polk","County","Relatively High"
"Putnam County","FL",-81.7443,29.6087,73604,0.9394,"Putnam","County","Relatively High"
"Rapides Parish","LA",-92.5332,31.1986,129536,0.7143,"Rapides","Parish","Relatively High"
"Real County","TX",-99.8222,29.8318,2830,0.4862,"Real","County","Relatively High"
"Refugio County","TX",-97.1656,28.3253,6718,0.7549,"Refugio","County","Very High"
"Robertson County","TX",-96.5129,31.027,16912,0.5415,"Robertson","County","Relatively High"
"Sabine County","TX",-93.8518,31.3432,9980,0.3162,"Sabine","County","Relatively High"
"Sabine Parish","LA",-93.5547,31.564,22209,0.746,"Sabine","Parish","Relatively High"
"San Augustine County","TX",-94.1682,31.3942,7920,0.8854,"San Augustine","County","Relatively High"
"San Jacinto County","TX",-95.1669,30.5795,27666,0.6245,"San Jacinto","County","Relatively High"
"San Patricio County","TX",-97.5188,28.0092,68942,0.8024,"San Patricio","County","Very High"
"Santa Rosa County","FL",-87.0219,30.7004,188994,0.0606,"Santa Rosa","County","Relatively High"
"Sarasota County","FL",-82.3315,27.1845,439392,0.0758,"Sarasota","County","Very High"
"Scott County","MS",-89.5376,32.4064,27943,0.7531,"Scott","County","Relatively High"
"Sharkey County","MS",-90.8132,32.8798,3910,0.9383,"Sharkey","County","Relatively High"
"Shelby County","TX",-94.145,31.7924,24157,0.7984,"Shelby","County","Relatively High"
"Smith County","MS",-89.5067,32.0177,14310,0.358,"Smith","County","Relatively High"
"St. Bernard Parish","LA",-89.5549,29.8691,44038,0.8095,"St. Bernard","Parish","Relatively High"
"St. Charles Parish","LA",-90.3582,29.9055,52191,0.0635,"St. Charles","Parish","Relatively High"
"St. Helena Parish","LA",-90.7103,30.822,10872,0.9524,"St. Helena","Parish","Relatively High"
"St. James Parish","LA",-90.7931,30.027,20090,0,"St. James","Parish","Very High"
"St. John the Baptist Parish","LA",-90.4709,30.1264,41986,0.3333,"St. John the Baptist","Parish","Relatively High"
"St. Johns County","FL",-81.4407,29.9016,278722,0,"St. Johns","County","Relatively High"
"St. Landry Parish","LA",-92.0058,30.5989,82574,0.9048,"St. Landry","Parish","Relatively High"
"St. Lucie County","FL",-80.4721,27.3773,334682,0.5909,"St. Lucie","County","Very High"
"St. Martin Parish","LA",-91.6083,30.1291,51856,0.2698,"St. Martin","Parish","Very High"
