"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Henry County","AL",-85.2414,31.5147,17282,0.3333,"Henry","County"
"Hernando County","FL",-82.424,28.5537,196621,0.3333,"Hernando","County"
"Hidalgo County","TX",-98.1812,26.3969,873167,0.9763,"Hidalgo","County"
"Highlands County","FL",-81.341,27.3433,102339,0.7576,"Highlands","County"
"Hill County","TX",-97.1324,31.9907,36138,0.585,"Hill","County"
"Hillsborough County","FL",-82.3088,27.9292,1468560,0.6667,"Hillsborough","County"
"Holmes County","FL",-85.814,30.8679,19529,0.5455,"Holmes","County"
"Holmes County","MS",-90.0921,33.1235,16848,0.963,"Holmes","County"
"Hopkins County","TX",-95.5639,33.1496,37008,0.4664,"Hopkins","County"
"Houston County","AL",-85.3025,31.1532,107040,0.5,"Houston","County"
"Houston County","TX",-95.4227,31.3177,22107,0.7787,"Houston","County"
"Humphreys County","MS",-90.5266,33.1287,7744,1,"Humphreys","County"
"Iberia Parish","LA",-91.7308,29.8967,69958,0.8413,"Iberia","Parish"
"Iberville Parish","LA",-91.3495,30.2586,30210,0.6984,"Iberville","Parish"
"Indian River County","FL",-80.6064,27.6943,160986,0.1667,"Indian River","County"
"Issaquena County","MS",-90.9892,32.7415,1206,0.9012,"Issaquena","County"
"Jack County","TX",-98.1725,33.2335,8588,0.7628,"Jack","County"
"Jackson County","FL",-85.2155,30.7954,47704,0.5,"Jackson","County"
"Jackson County","MS",-88.6358,30.5425,143721,0.3704,"Jackson","County"
"Jackson County","TX",-96.5776,28.9542,15010,0.5692,"Jackson","County"
"Jackson Parish","LA",-92.5578,32.302,15093,0.4603,"Jackson","Parish"
"Jasper County","MS",-89.1189,32.0191,16320,0.1358,"Jasper","County"
"Jasper County","TX",-94.0251,30.744,33032,0.6561,"Jasper","County"
"Jefferson County","FL",-83.8953,30.4375,14458,0.4242,"Jefferson","County"
"Jefferson County","MS",-91.0373,31.7342,7207,0.7901,"Jefferson","County"
"Jefferson County","TX",-94.1629,29.8841,254942,0.8617,"Jefferson","County"
"Jefferson Davis County","MS",-89.823,31.5697,11291,0.5556,"Jefferson Davis","County"
"Jefferson Davis Parish","LA",-92.8141,30.2677,32277,0.0952,"Jefferson Davis","Parish"
"Jefferson Parish","LA",-90.1276,29.7882,436171,0.5397,"Jefferson","Parish"
"Jim Hogg County","TX",-98.6973,27.0434,4830,0.5375,"Jim Hogg","County"
"Jim Wells County","TX",-98.0899,27.7314,39060,0.9012,"Jim Wells","County"
"Jones County","MS",-89.1688,31.6225,67152,0.2716,"Jones","County"
"Karnes County","TX",-97.8594,28.9057,14805,0.8419,"Karnes","County"
"Kemper County","MS",-88.6412,32.7546,8980,0.8642,"Kemper","County"
"Kenedy County","TX",-97.7017,26.9285,116,0.5336,"Kenedy","County"
"Kent County","TX",-100.7776,33.1813,635,0.0751,"Kent","County"
"Kerr County","TX",-99.35,30.0615,52810,0.4071,"Kerr","County"
"Kimble County","TX",-99.7487,30.4868,4316,0.1739,"Kimble","County"
"King County","TX",-100.2558,33.6165,216,0.1897,"King","County"
"Kinney County","TX",-100.418,29.3502,3157,0.415,"Kinney","County"
"Kleberg County","TX",-97.7273,27.4337,30860,0.9249,"Kleberg","County"
"Knox County","TX",-99.7414,33.6061,3333,0.3755,"Knox","County"
"La Salle County","TX",-99.0996,28.3452,6965,0.8933,"La Salle","County"
"Lafayette County","FL",-83.1811,29.9855,8107,0.8333,"Lafayette","County"
"Lafayette Parish","LA",-92.0639,30.2068,243175,0.1905,"Lafayette","Parish"
"Lafourche Parish","LA",-90.4256,29.5662,97220,0.2222,"Lafourche","Parish"
"Lake County","FL",-81.7113,28.7615,386829,0.2727,"Lake","County"
