Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,FID,CountyFips_1,CountyFi_1,CountyName,State,StateFips,NumTracts
45007012001,45007,1,12001,11.2880707,66.9907074,68,34.515759,-82.712311,101,623,45007,7,Anderson,SC,45,51
45007012002,45007,1,12002,46.9754219,129.2135773,112,34.488472,-82.722366,102,623,45007,7,Anderson,SC,45,51
45007012200,45007,1,12200,194.1914673,299.7335205,189,34.411148,-82.736061,103,623,45007,7,Anderson,SC,45,51
45007012300,45007,1,12300,8.1366596,49.5147057,113,34.507545,-82.624191,104,623,45007,7,Anderson,SC,45,51
45009960101,45009,1,960101,109.1514435,157.503891,80,33.353054,-81.148979,105,624,45009,9,Bamberg,SC,45,6
45009960102,45009,1,960102,90.8079224,181.0023041,190,33.30785,-81.139328,106,624,45009,9,Bamberg,SC,45,6
45009960201,45009,1,960201,77.4108734,140.6212006,132,33.30727,-81.027306,107,624,45009,9,Bamberg,SC,45,6
45009960202,45009,1,960202,305.637207,430.925293,202,33.243618,-80.993057,108,624,45009,9,Bamberg,SC,45,6
45009960300,45009,1,960300,226.1583405,309.0009155,143,33.187042,-81.162972,109,624,45009,9,Bamberg,SC,45,6
45009960400,45009,1,960400,214.5195618,293.1027222,156,33.105534,-81.006439,110,624,45009,9,Bamberg,SC,45,6
45011970101,45011,1,970101,76.4556351,101.4844513,81,33.419987,-81.405235,111,1155,45011,11,Barnwell,SC,45,8
45011970102,45011,1,970102,178.098938,260.0243225,197,33.373356,-81.412643,112,1155,45011,11,Barnwell,SC,45,8
45011970200,45011,1,970200,178.5480957,281.2077026,200,33.363785,-81.275749,113,1155,45011,11,Barnwell,SC,45,8
45011970300,45011,1,970300,70.3074493,140.6447449,147,33.265068,-81.38636,114,1155,45011,11,Barnwell,SC,45,8
45011970401,45011,1,970401,77.22052,157.3724213,122,33.259274,-81.282402,115,1155,45011,11,Barnwell,SC,45,8
45011970402,45011,1,970402,74.2757645,144.0118256,93,33.23101,-81.316101,116,1155,45011,11,Barnwell,SC,45,8
45011970500,45011,1,970500,294.4212036,407.3921204,187,33.200893,-81.400894,117,1155,45011,11,Barnwell,SC,45,8
45011980100,45011,1,980100,492.8862305,930.7282104,39,33.242981,-81.645805,118,1155,45011,11,Barnwell,SC,45,8
45013000100,45013,1,100,370.2235107,396.4444275,133,32.588184,-80.760223,119,1156,45013,13,Beaufort,SC,45,42
45013000200,45013,1,200,57.0657806,130.9390717,132,32.500504,-80.743866,120,1156,45013,13,Beaufort,SC,45,42
45013000300,45013,1,300,9.0111456,45.8736305,79,32.462227,-80.790802,121,1156,45013,13,Beaufort,SC,45,42
45013000400,45013,1,400,23.4722214,73.186409,42,32.46756,-80.717697,122,1156,45013,13,Beaufort,SC,45,42
45013000501,45013,1,501,28.2831516,112.8288879,134,32.434219,-80.761505,123,1156,45013,13,Beaufort,SC,45,42
45013000502,45013,1,502,15.8725471,78.2486649,154,32.419029,-80.735313,124,1156,45013,13,Beaufort,SC,45,42
45013000503,45013,1,503,28.7335815,86.0655365,172,32.392078,-80.735115,125,1156,45013,13,Beaufort,SC,45,42
45013000600,45013,1,600,9.094017,35.929306,116,32.442577,-80.686172,126,1156,45013,13,Beaufort,SC,45,42
45013000700,45013,1,700,12.51439,82.5057831,228,32.418713,-80.688583,127,1156,45013,13,Beaufort,SC,45,42
45013000800,45013,1,800,9.0302763,54.859951,107,32.387516,-80.692703,128,1156,45013,13,Beaufort,SC,45,42
45013000901,45013,1,901,70.5781097,98.0785751,46,32.482502,-80.643196,129,1156,45013,13,Beaufort,SC,45,42
